id,name,totalUnits,residentsCount,lat,lng
291,110 Hoboken ave,232,47,40.7357055,-74.0475001
292,11-39 49th,190,56,40.7428402,-73.950942
294,1 River Court,375,215,40.726792,-74.031502
295,29-22 Northern Blvd,467,129,40.7490714,-73.9361896
297,225 Grand St,312,96,40.7155071,-74.0433706
298,485 Marin Blvd,375,70,40.7271288,-74.040401
299,18 Park Ave,383,57,40.7143446,-74.0438893
300,100 C. Columbus Dr,445,72,40.7195249,-74.0418236
301,235 Hudson St,148,64,40.7394886,-74.028893
302,619 Adams St,42,24,40.7455171,-74.0349252
303,255 Warren St,226,144,40.7167652,-74.0394408
304,148 1St St,117,88,40.7215829,-74.0398856
305,2 14Th St,321,91,40.7530199,-74.0240663
307,1300 Ave at Port Imperial,286,97,40.7731429,-74.0130758
308,500 W 56th St,397,49,40.7683339,-73.9894022
309,27-03 42 Rd,125,33,40.7495301,-73.940145
311,200 E 87th St,125,31,40.779219,-73.9531525
312,60 W 66Th St,296,71,40.7733734,-73.9813713
313,154 W 70th St,137,44,40.7767858,-73.9816022
314,200 E 82nd St,252,29,40.7759453,-73.955592
315,461 Dean St,326,60,40.6819212,-73.9756186
316,98 Front St,180,51,40.7024285,-73.9888337
317,350 Clarkson,251,167,40.6551735,-73.9483443
318,2475 W 16th,180,16,40.5866482,-73.9845156
319,1620 Fulton,88,91,40.6794883,-73.9361165
320,40 Brighton 1st Rd,365,12,40.5756277,-73.9667833
321,416 Kent Ave,359,101,40.7102685,-73.9694879
322,184 Kent,439,49,40.718954,-73.9644059
324,1 & 2 Ocean Dr,202,115,40.5749261,-73.9859414
325,70 Washington,220,18,40.7020349,-73.9899069
326,306 Gold,396,56,40.6950751,-73.9835386
327,360 Furman,439,55,40.6935641,-74.0005349
328,123 Melrose St,359,148,40.6995525,-73.933491
329,475 Clermont Ave,224,50,40.6833116,-73.9681954
330,1 City Point,473,73,40.6909398,-73.9830629
331,111 Montgomery St,151,57,40.666873,-73.960886
332,Trump Village,572,156,40.5774625,-73.9731878
337,StuyTown,11273,1065,40.7316971,-73.9801925
354,150 N 12th St,48,17,40.7210931,-73.9558663
362,180 Montague,196,28,40.6938324,-73.9919388
363,855 E 7th,132,23,40.6302675,-73.9699172
364,9511 Shore,114,11,40.6163605,-74.0377695
365,80 Winthrop,132,11,40.6564904,-73.9576946
366,66 Rockwell,322,76,40.687995,-73.9794569
367,60 Broadway,123,43,40.7102929,-73.9660133
369,8701 Shore,174,40,40.624429,-74.039835
370,1875 Atlantic,104,43,40.6772925,-73.923031
371,333 Schermerhorn,753,162,40.6873539,-73.9811041
372,2650 Ocean,190,14,40.5855503,-73.9669229
374,1360 Ocean,153,26,40.6153364,-73.9693662
375,9201 Shore Rd,250,26,40.620502,-74.0396973
376,85 Livingston,252,32,40.6915696,-73.9905785
377,225 Adams,165,15,40.6972127,-73.9878294
378,34 N 7th,189,25,40.7206424,-73.9625206
